n,cpu,cuda,openCL
1,0.02571725845336914,0.11280345916748047,0.0030069351196289062
101,1.780776023864746,0.7271401882171631,0.19344496726989746
201,3.486473321914673,1.4425363540649414,0.3737459182739258
301,5.272444486618042,2.1519558429718018,0.5624518394470215
401,6.9359729290008545,2.8765134811401367,0.7426729202270508
501,8.511079549789429,3.5934600830078125,0.9276127815246582
601,10.337226629257202,4.359048366546631,1.1078872680664062
701,12.769702434539795,5.0268871784210205,1.2886128425598145
801,13.639648199081421,5.7732038497924805,1.4743766784667969
901,16.050395965576172,6.457746505737305,1.6581907272338867
