n,cpu,cuda,openCL
1,0.0071065425872802734,0.10377955436706543,0.006470441818237305
2,0.012743473052978516,0.005487918853759766,0.007735729217529297
3,0.0194547176361084,0.00612640380859375,0.011269330978393555
4,0.025011301040649414,0.005992889404296875,0.015758991241455078
5,0.03151822090148926,0.006907939910888672,0.019741296768188477
6,0.03918266296386719,0.00722193717956543,0.023997068405151367
7,0.044474124908447266,0.007935762405395508,0.028651952743530273
8,0.05260729789733887,0.008684873580932617,0.03303408622741699
9,0.0574338436126709,0.00949239730834961,0.03895831108093262
10,0.06314706802368164,0.010196447372436523,0.04098868370056152
11,0.07074713706970215,0.011390209197998047,0.04514050483703613
12,0.08034944534301758,0.011740684509277344,0.04965925216674805
13,0.08677411079406738,0.012453556060791016,0.05399179458618164
14,0.09055590629577637,0.013200759887695312,0.05927538871765137
15,0.0970001220703125,0.01395416259765625,0.06448626518249512
16,0.10457563400268555,0.014516830444335938,0.06755900382995605
17,0.11049962043762207,0.015131711959838867,0.07133674621582031
18,0.11529326438903809,0.015977859497070312,0.07541394233703613
19,0.12024903297424316,0.017040491104125977,0.08477926254272461
20,0.13639593124389648,0.01750802993774414,0.08365082740783691
21,0.13811969757080078,0.01807546615600586,0.08874702453613281
22,0.14220595359802246,0.01892852783203125,0.09432268142700195
23,0.14811944961547852,0.019524574279785156,0.09708833694458008
24,0.15560650825500488,0.020823001861572266,0.10126304626464844
25,0.1582484245300293,0.021175146102905273,0.1061394214630127
26,0.1654505729675293,0.022086143493652344,0.10900044441223145
27,0.17421317100524902,0.02229928970336914,0.11472034454345703
28,0.17474913597106934,0.02300715446472168,0.11954927444458008
29,0.18518805503845215,0.024320602416992188,0.1222541332244873
30,0.19296741485595703,0.024950265884399414,0.12789249420166016
31,0.1979067325592041,0.025123119354248047,0.13311147689819336
32,0.20643305778503418,0.026279211044311523,0.1356804370880127
33,0.21250391006469727,0.02706170082092285,0.13971281051635742
34,0.2170867919921875,0.028034687042236328,0.14428949356079102
35,0.22432494163513184,0.028981924057006836,0.15557122230529785
36,0.23084425926208496,0.029038190841674805,0.15363001823425293
37,0.23313283920288086,0.030336618423461914,0.15784025192260742
38,0.24257135391235352,0.030532360076904297,0.1618804931640625
39,0.24498653411865234,0.030894041061401367,0.16481280326843262
40,0.255293607711792,0.031627655029296875,0.1707143783569336
41,0.2595095634460449,0.03248858451843262,0.17428016662597656
