size,cpu,cuda,openCL
6000x4000,0.07596135139465332,0.13079071044921875,0.006279468536376953
3600x2400,0.01963663101196289,0.006104230880737305,0.00044846534729003906
2160x1440,0.007227659225463867,0.0024878978729248047,0.00020241737365722656
1296x864,0.0030183792114257812,0.0012574195861816406,0.00020956993103027344
778x518,0.0010488033294677734,0.0008630752563476562,0.00018835067749023438
467x311,0.0005462169647216797,0.0004718303680419922,8.916854858398438e-05
280x187,0.0002720355987548828,0.0003273487091064453,9.5367431640625e-05
168x112,0.00013208389282226562,0.00030517578125,8.559226989746094e-05
101x67,7.939338684082031e-05,0.00029754638671875,8.678436279296875e-05
61x40,6.0558319091796875e-05,0.0002875328063964844,8.225440979003906e-05
37x24,3.5762786865234375e-05,0.00028204917907714844,9.036064147949219e-05
22x14,3.600120544433594e-05,0.00028061866760253906,7.390975952148438e-05
13x8,2.4557113647460938e-05,0.0002295970916748047,7.271766662597656e-05
8x5,1.9073486328125e-05,0.00022530555725097656,7.486343383789062e-05
5x3,1.8835067749023438e-05,0.00022459030151367188,7.486343383789062e-05
3x2,1.7881393432617188e-05,0.0002224445343017578,7.62939453125e-05
2x1,1.71661376953125e-05,0.00022649765014648438,7.343292236328125e-05
