size,cpu,cuda,openCL
6000x4000,0.09091043472290039,0.009488105773925781,0.004314899444580078
3000x2000,0.012941598892211914,0.002046346664428711,0.00027441978454589844
1500x1000,0.00477910041809082,0.0009176731109619141,0.0002465248107910156
750x500,0.0010170936584472656,0.00048732757568359375,0.00042128562927246094
375x250,0.0003452301025390625,0.0002605915069580078,9.918212890625e-05
188x125,0.00014209747314453125,0.00020265579223632812,0.00015306472778320312
94x62,7.987022399902344e-05,0.00019979476928710938,0.0001506805419921875
47x31,5.745887756347656e-05,0.00019049644470214844,0.0001506805419921875
24x16,3.7670135498046875e-05,0.0001842975616455078,8.225440979003906e-05
12x8,3.1948089599609375e-05,0.00016880035400390625,8.535385131835938e-05
6x4,2.6941299438476562e-05,0.00016689300537109375,8.940696716308594e-05
3x2,2.6941299438476562e-05,0.0001456737518310547,6.699562072753906e-05
2x1,1.71661376953125e-05,0.0001506805419921875,6.031990051269531e-05
