size,cpu,cuda,openCL
6000x4000,0.07779765129089355,0.011717081069946289,0.005791664123535156
3000x2000,0.013724565505981445,0.002070903778076172,0.0002720355987548828
1500x1000,0.005213737487792969,0.0009799003601074219,0.000286102294921875
750x500,0.001386404037475586,0.0004916191101074219,0.00013709068298339844
375x250,0.0003364086151123047,0.0002880096435546875,9.465217590332031e-05
188x125,0.00014972686767578125,0.00020313262939453125,9.202957153320312e-05
94x62,8.130073547363281e-05,0.00019550323486328125,9.036064147949219e-05
47x31,0.0005202293395996094,0.00018477439880371094,7.915496826171875e-05
24x16,4.57763671875e-05,0.00017118453979492188,8.654594421386719e-05
12x8,2.47955322265625e-05,0.00015044212341308594,8.177757263183594e-05
6x4,1.8358230590820312e-05,0.00014925003051757812,7.414817810058594e-05
3x2,1.8358230590820312e-05,0.0001468658447265625,8.869171142578125e-05
2x1,1.7404556274414062e-05,0.00014925003051757812,7.200241088867188e-05
