n,cpu,cuda,openCL
101,0.023928403854370117,0.10418200492858887,0.0032753944396972656
201,1.724674940109253,0.7159886360168457,0.18987321853637695
301,3.4774937629699707,1.4237167835235596,0.3748757839202881
401,5.0973100662231445,2.137653350830078,0.5522427558898926
501,6.735149383544922,2.8496711254119873,0.7401115894317627
601,8.499963283538818,3.554746627807617,0.9254250526428223
701,10.205802202224731,4.247688055038452,1.1115469932556152
801,11.918922662734985,4.918080806732178,1.287717580795288
901,13.619942665100098,5.628164291381836,1.4601600170135498
1001,15.246182918548584,6.345823287963867,1.6456832885742188
