size,cpu,cuda,openCL
6000x4000,0.07276201248168945,0.11382746696472168,0.004548549652099609
3000x2000,0.013283014297485352,0.0045223236083984375,0.00036835670471191406
1500x1000,0.004749774932861328,0.0016946792602539062,0.00032711029052734375
750x500,0.001026153564453125,0.0007810592651367188,0.0002574920654296875
375x250,0.00035262107849121094,0.00046062469482421875,0.00014448165893554688
188x125,0.0001628398895263672,0.00032520294189453125,0.0001399517059326172
94x62,8.7738037109375e-05,0.00030612945556640625,0.0001499652862548828
47x31,5.745887756347656e-05,0.00028967857360839844,7.915496826171875e-05
24x16,3.3855438232421875e-05,0.0002810955047607422,8.7738037109375e-05
12x8,3.218650817871094e-05,0.0002455711364746094,7.653236389160156e-05
6x4,1.8835067749023438e-05,0.0002231597900390625,6.794929504394531e-05
3x2,1.7642974853515625e-05,0.00023603439331054688,7.033348083496094e-05
2x1,2.288818359375e-05,0.00025081634521484375,7.748603820800781e-05
