size,cpu,cuda,openCL
6000x4000,0.150895357131958,0.009392261505126953,0.004324674606323242
3000x2000,0.027763843536376953,0.0021538734436035156,0.0002770423889160156
1500x1000,0.007378339767456055,0.0008957386016845703,0.0002827644348144531
750x500,0.0022459030151367188,0.0004820823669433594,0.00013899803161621094
375x250,0.0006976127624511719,0.00025844573974609375,7.486343383789062e-05
188x125,0.0002434253692626953,0.0002033710479736328,7.724761962890625e-05
94x62,9.322166442871094e-05,0.000171661376953125,6.413459777832031e-05
47x31,2.9325485229492188e-05,0.00016188621520996094,6.508827209472656e-05
24x16,1.1444091796875e-05,0.00015997886657714844,6.580352783203125e-05
12x8,7.3909759521484375e-06,0.00014972686767578125,6.246566772460938e-05
6x4,5.245208740234375e-06,0.00014710426330566406,5.888938903808594e-05
3x2,7.104873657226562e-05,0.00015997886657714844,6.29425048828125e-05
2x1,1.7881393432617188e-05,0.0001499652862548828,6.413459777832031e-05
