size,cpu,cuda,openCL
6000x4000,0.16451001167297363,0.009472846984863281,0.014368772506713867
3000x2000,0.028874635696411133,0.0021355152130126953,0.0026416778564453125
1500x1000,0.007451057434082031,0.0009238719940185547,0.0010020732879638672
750x500,0.0023114681243896484,0.0005829334259033203,0.00044655799865722656
375x250,0.0007364749908447266,0.00029659271240234375,0.0001850128173828125
188x125,0.0002460479736328125,0.00017833709716796875,0.0001049041748046875
94x62,0.00010466575622558594,0.0001857280731201172,0.0003204345703125
47x31,3.933906555175781e-05,0.0001628398895263672,8.869171142578125e-05
24x16,1.621246337890625e-05,0.00017333030700683594,0.00010752677917480469
12x8,1.0967254638671875e-05,0.0001506805419921875,9.226799011230469e-05
6x4,8.344650268554688e-06,0.0001475811004638672,6.437301635742188e-05
3x2,7.43865966796875e-05,0.00014781951904296875,6.103515625e-05
2x1,2.7418136596679688e-05,0.00014972686767578125,6.198883056640625e-05
